17:56:52.409 -> red=110677, ir=50498, HR=166, HRvalid=1, SPO2=98, SPO2Valid=1
17:56:52.502 -> red=110265, ir=50864, HR=166, HRvalid=1, SPO2=98, SPO2Valid=1
17:56:52.642 -> red=110236, ir=50871, HR=166, HRvalid=1, SPO2=98, SPO2Valid=1
17:56:52.689 -> red=109746, ir=51336, HR=166, HRvalid=1, SPO2=98, SPO2Valid=1
17:56:52.829 -> red=109694, ir=51281, HR=166, HRvalid=1, SPO2=98, SPO2Valid=1
17:56:52.923 -> red=109404, ir=51085, HR=166, HRvalid=1, SPO2=98, SPO2Valid=1
17:56:53.017 -> red=109651, ir=50978, HR=166, HRvalid=1, SPO2=98, SPO2Valid=1
17:56:53.110 -> red=109486, ir=51320, HR=166, HRvalid=1, SPO2=98, SPO2Valid=1
17:56:53.203 -> red=110540, ir=51294, HR=166, HRvalid=1, SPO2=98, SPO2Valid=1
17:56:53.296 -> red=110690, ir=51192, HR=166, HRvalid=1, SPO2=98, SPO2Valid=1
17:56:53.437 -> red=110516, ir=51086, HR=166, HRvalid=1, SPO2=98, SPO2Valid=1
17:56:53.532 -> red=110922, ir=51522, HR=166, HRvalid=1, SPO2=98, SPO2Valid=1
17:56:53.626 -> red=111582, ir=52151, HR=166, HRvalid=1, SPO2=98, SPO2Valid=1
17:56:53.720 -> red=111456, ir=52271, HR=100, HRvalid=1, SPO2=99, SPO2Valid=1
17:56:53.813 -> red=112154, ir=51795, HR=100, HRvalid=1, SPO2=99, SPO2Valid=1
17:56:53.905 -> red=112501, ir=51472, HR=100, HRvalid=1, SPO2=99, SPO2Valid=1
17:56:54.045 -> red=111689, ir=51451, HR=100, HRvalid=1, SPO2=99, SPO2Valid=1
17:56:54.092 -> red=112103, ir=51880, HR=100, HRvalid=1, SPO2=99, SPO2Valid=1
17:56:54.233 -> red=111910, ir=52055, HR=100, HRvalid=1, SPO2=99, SPO2Valid=1
17:56:54.327 -> red=111752, ir=52040, HR=100, HRvalid=1, SPO2=99, SPO2Valid=1
17:56:54.421 -> red=111150, ir=52017, HR=100, HRvalid=1, SPO2=99, SPO2Valid=1
17:56:54.516 -> red=111156, ir=52186, HR=100, HRvalid=1, SPO2=99, SPO2Valid=1
17:56:54.658 -> red=110695, ir=52086, HR=100, HRvalid=1, SPO2=99, SPO2Valid=1
17:56:54.704 -> red=109994, ir=51995, HR=100, HRvalid=1, SPO2=99, SPO2Valid=1
17:56:54.843 -> red=108532, ir=50636, HR=100, HRvalid=1, SPO2=99, SPO2Valid=1
17:56:54.938 -> red=106163, ir=51316, HR=100, HRvalid=1, SPO2=99, SPO2Valid=1
17:56:55.033 -> red=106437, ir=50668, HR=100, HRvalid=1, SPO2=99, SPO2Valid=1
17:56:55.126 -> red=106613, ir=50451, HR=100, HRvalid=1, SPO2=99, SPO2Valid=1
17:56:55.220 -> red=106995, ir=50326, HR=100, HRvalid=1, SPO2=99, SPO2Valid=1
17:56:55.313 -> red=107400, ir=50966, HR=100, HRvalid=1, SPO2=99, SPO2Valid=1
17:56:55.455 -> red=107599, ir=50173, HR=100, HRvalid=1, SPO2=99, SPO2Valid=1
17:56:55.501 -> red=107720, ir=50182, HR=100, HRvalid=1, SPO2=99, SPO2Valid=1
17:56:55.643 -> red=107817, ir=50243, HR=100, HRvalid=1, SPO2=99, SPO2Valid=1
17:56:55.737 -> red=108240, ir=50273, HR=100, HRvalid=1, SPO2=99, SPO2Valid=1
17:56:55.830 -> red=108858, ir=50597, HR=100, HRvalid=1, SPO2=99, SPO2Valid=1
17:56:55.924 -> red=109081, ir=50861, HR=100, HRvalid=1, SPO2=99, SPO2Valid=1
17:56:56.064 -> red=109841, ir=51166, HR=100, HRvalid=1, SPO2=99, SPO2Valid=1
17:56:56.109 -> red=109141, ir=51142, HR=100, HRvalid=1, SPO2=99, SPO2Valid=1
17:56:56.250 -> red=110489, ir=51227, HR=93, HRvalid=1, SPO2=-999, SPO2Valid=0
17:56:56.344 -> red=110871, ir=51105, HR=93, HRvalid=1, SPO2=-999, SPO2Valid=0
17:56:56.437 -> red=110808, ir=51307, HR=93, HRvalid=1, SPO2=-999, SPO2Valid=0
17:56:56.531 -> red=110681, ir=51224, HR=93, HRvalid=1, SPO2=-999, SPO2Valid=0
17:56:56.625 -> red=110468, ir=51510, HR=93, HRvalid=1, SPO2=-999, SPO2Valid=0
17:56:56.719 -> red=110760, ir=51600, HR=93, HRvalid=1, SPO2=-999, SPO2Valid=0
17:56:56.858 -> red=110606, ir=51736, HR=93, HRvalid=1, SPO2=-999, SPO2Valid=0
17:56:56.905 -> red=111063, ir=51821, HR=93, HRvalid=1, SPO2=-999, SPO2Valid=0
17:56:57.046 -> red=111979, ir=53910, HR=93, HRvalid=1, SPO2=-999, SPO2Valid=0
17:56:57.141 -> red=115572, ir=58686, HR=93, HRvalid=1, SPO2=-999, SPO2Valid=0
17:56:57.235 -> red=130311, ir=72997, HR=93, HRvalid=1, SPO2=-999, SPO2Valid=0
17:56:57.329 -> red=135241, ir=71177, HR=93, HRvalid=1, SPO2=-999, SPO2Valid=0
17:56:57.471 -> red=130751, ir=68073, HR=93, HRvalid=1, SPO2=-999, SPO2Valid=0
17:56:57.518 -> red=127783, ir=63833, HR=93, HRvalid=1, SPO2=-999, SPO2Valid=0
17:56:57.658 -> red=117892, ir=54495, HR=93, HRvalid=1, SPO2=-999, SPO2Valid=0
17:56:57.752 -> red=112509, ir=51400, HR=93, HRvalid=1, SPO2=-999, SPO2Valid=0
